Key	Catalogus Nr.
CNHDR036M3-1/1X6B	CNHDR036M3-1/1X6
TW-11-03-X-D	CNHDR022M1
CT_TEST	DO_NOT_PLACE
C-EUC0603:22N	YCAM22N-1
ESQT-111-02-X-D	CNHDR022F1
INT55MX	DO_NOT_PLACE
SL090A090SM	YGDTSL0902
M09HP	CNSUD009M2-3
C-EUC0805:100N	YCAM100N-1
R-EU_R0603:4K7	YRES4K7-1
R-EU_R0603:5K6	YRES5K6-1
BAT760	YDIOBAT760
BPL-MODULE	YMODINT5500CS
ICL3243IAZ	YICLMAX3243
BLM21BB121	YCOLFB120E
MIC2075	YICSMIC2075
R-US_R1206:1K_NP	NOT PLACED
R-US_R1206:3K9	YRES3K9
R-US_R0805:10K_NP	NOT PLACED
C-EUC0805:10p_NP	NOT PLACED
R-US_R0603:47E	YRES47E-1
CPOL-EUSMCD:68u/10V	YCAT68U
R-US_R0603:37K4	YRES37K4-1
CPOL-EUSMCC:10u/16V	YCAT10U
AD8041AR	YICSAD8041
AD8571ARZ	Farnell: 942-6078
MAX707ESA_NP	NOT PLACED
R-US_R1206:NP	NOT PLACED
R-US_R0603:NP	NOT PLACED
MT9V111_AUTOMOTIVE	YICSCMT9V111
BSH-60-01-L-D-A-TR	CNBTB060M1
BTH-060-02-F-D-A-TR	CNBTB060F1
MBR053	YDIOMBR0530
YCOL330U	YCOL330U
R-EU_R1206:0E22	YRES0E22
R-EU_R0805:22E	YRES22E-2
GRADCONN_BB02-PE	CNBTB040M2-1
R-EU_R0805:150E	YRES150E-2
GOLDCAP_1F	CAC1F
GRADCONN_BB02-PG	CNBTB040F1-1
IMX31_R2	30-0192
KX_327XS/32K76	YXTL32K76-1
SMDAT24C02B	YICME256X8-1
SMDPCF8563	YICSPCF8563
TW-14-03-X-D	CNHDR028M1
R-EU_R0603:150E	YRES150E-1
BAV99	YDIOBAV99
IMX31_JTAG:	DO_NOT_PLACE
C-EUC0603:8P2	YCAM8P2-1
ESQT-114-02-X-D	CNHDR028F1
INT55MX-90°	YMODINT5500CS-1
ERNI_MJH-R	CNRJ45F2-2
R-EU_R0805:200K	YRES200K-1
BTH-D_DUMMY_CONNECTOR	CNBTB060F1
KX_327XS/32K76:	YXTL32K76-1
SMDLM73C	YICSLM73
R-EU_R0603:220E	YRES220E-1
ELCO_160V/100U_16X25_7.5	CAER100U-3
SM15T100CA	YDITSM15T100
DFL1502S:	YDIB140V1500MA
C-EUC1206:4U7	YCAM4U7
SMDTPS3823-33	YICSTPS3823-3V3
TP_BOTH-SIDES	DO_NOT_PLACE
STACKED_RJ45_W_LEDS	CNRJ45F2
R-EU_R0603:200K	YRES200K-1
TRS3243EIPW	YICLMAX3243-1
INT55MX-STRAIGHT	YMODINT5500CS
C-EUC0805K:1U	YCAM1U-1
R-EU_R0603:120K	YRES120K-1
TL7700CPW	YICSTL7700
74LVC1G123DCT	YICT74LVC1G123
C-EUC0805K:100N/100V	YCAM100N-6
FM93C66	YICME256X16
HARLINK	CNHLC010F1
PLY10AN3521R0D2	FIL25
MC_0.5/3-G-2.5	CNTRM003M-3
R-EU_R0603:68K	YRES68K-1
	CNHDR036M3-1/1x2
